PMID	PMCID	Title	Year	Journal	DOI	Relevance_Score	Is_Relevant	Summary	Relevance_Explanation	Organisms	Species	Strain_Variety	Genotype	Tissues_Organs	Source_Tissue_Origin	Cell_Type	Developmental_Stage	Organism_Age	Growth_Phase	Conditions	Environmental_Stress	Temperature_Range	Light_Conditions	Growth_Medium	Sample_Collection_Conditions	Molecules_Extracted	RNA_Type	DNA_Type	Protein_Type	Other_Molecules	Strategies	Measurement_Tools	Detection_Method	Time_Course_Design	Time_Points	Time_Intervals	Time_Duration	Sample_Size	Biological_Replicates	Technical_Replicates	Replication_Design	Treatment_Groups	Control_Type	Dose_Range	Quality_Metrics	Contamination_Check	Pathway_Focus	Biomarkers_Measured	Disease_Model	Differential_Expression_Threshold	Normalization_Method	Statistical_Method	Raw_Data_Available	Abstract_Preview
39731028	PMC11681679	Comparative transcriptome analysis and heterologous overexpression indicate that the ZjZOG gene may positively regulate the size of jujube fruit.	2024	BMC plant biology	10.1186/s12870-024-05997-3	3	No	The study investigates the regulatory mechanisms affecting fruit size in jujube through comparative transcriptome analysis and heterologous overexpression of a candidate gene, ZjZOG, in tomato. The findings suggest that variations in mesocarp cell numbers during early development significantly influence final fruit size.	The paper is not directly relevant to the user query as it focuses on jujube rather than Solanum lycopersicum or related tomatoes. However, it does mention heterologous overexpression of a candidate gene in tomato, which tangentially relates to the query's interest in tomato genetics.	Ziziphus jujuba ; Solanum lycopersicum	Ziziphus jujuba	LH; ZY	not described	fruit mesocarp	not described	not described	early fruit development to mature stage	15 days post-flowering to maturity	not described	fruit size regulation	not described	not described	not described	not described	collected at different developmental stages of fruit growth	RNA	total RNA	not described	not described	not described	Sequencing ; heterologous overexpression ; qRT-PCR ; transcriptome sequencing	Illumina TrueSeq; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	Yes	5 developmental stages	not specified	from fruit set to maturity	3 biological replicates per stage	3	2	completely randomized	2	not described	not described	RNA integrity number > 8	not mentioned	plant hormone-related pathways	gene expression levels; mesocarp cell numbers and length	not described	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test	Yes	Fruit size is a crucial economic trait that impacts the quality of jujube (Ziziphus jujuba), however, research in this area remains limited. This study utilized two jujube cultivars with similar genet...
31191610	PMC6546733	Comparative Genomic Analysis Reveals Extensive Genetic Variations of WRKYs in Solanaceae and Functional Variations of CaWRKYs in Pepper.	2019	Frontiers in genetics	10.3389/fgene.2019.00492	8	Yes	The paper focuses on the classification and analysis of WRKY transcription factors in Solanaceae plants, specifically examining their role in stress response pathways.	This study is highly relevant to the user query as it provides detailed information about WRKY transcription factors which are involved in plant stress responses. Although not directly mentioning the specific gene queried by the user, the paper offers valuable insights into the broader family of genes and their functions.	Solanaceae plants	not described	not described	not described	not described	not described	not described	not described	not described	not described	stress response	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	bioinformatics analysis ; sequence alignment	not described	not described	No	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	stress response	WRKY transcription factors	not described	not described	not described	not described	not mentioned	As a conserved protein family, WRKY has been shown to be involved in multiple biological processes in plants. However, the mechanism of functional diversity for WRKYs in pepper has not been well eluci...
27991526	PMC5171846	Putative WRKYs associated with regulation of fruit ripening revealed by detailed expression analysis of the WRKY gene family in pepper.	2016	Scientific reports	10.1038/srep39000	5	Yes	This paper analyzes the expression patterns of CaWRKY genes in pepper tissues and their role in fruit ripening, stress responses, and hormone regulation.	The paper focuses on WRKY transcription factors in pepper but does not specifically study SlWRKY37 or Solyc01g079360 in tomato. It mentions some conservation with tomato WRKY genes but does not provide detailed analysis of the specific gene queried.	Capsicum annuum ; Solanum lycopersicum	Capsicum annuum	not described	not described	root ; stem ; leaf ; bud ; flower ; fruit	not described	not described	not described	not described	not described	environmental stresses ; plant hormones	not specified	not described	not described	not described	not described	RNA	total RNA	not described	not described	not described	RNA-Seq ; qRT-PCR	Illumina TrueSeq; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	No	not specified	not described	not specified	3 biological replicates	3	not described	factorial design	2	untreated control	not described	RNA integrity number > 8	not mentioned	fruit ripening and stress response signaling pathways	gene expression levels	not applicable	log2FC > 1.5, p < 0.05	quantile normalization	t-test; ANOVA	Yes	WRKY transcription factors play important roles in plant development and stress responses. Here, global expression patterns of pepper CaWRKYs in various tissues as well as response to environmental st...
37239391	PMC10218184	Genome-Wide Identification and Characterization of the VQ Motif-Containing Gene Family Based on Their Evolution and Expression Analysis under Abiotic Stress and Hormone Treatments in Foxtail Millet (Setaria italica L.).	2023	Genes	10.3390/genes14051032	0	No	This paper identifies and characterizes 32 VQ motif-containing genes in foxtail millet, analyzing their evolutionary relationships, gene structures, expression patterns under abiotic stress and hormone treatments, and potential interactions with WRKY transcription factors.	The paper focuses on the identification of VQ motif-containing genes in foxtail millet (Setaria italica) and does not mention Solanum lycopersicum or SlWRKY37. Therefore, it is not relevant to the user query.	Setaria italica	Setaria italica	not described	wild-type	not described	not described	not described	not described	not described	not described	abiotic stress ; hormone treatments	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	No	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	Valine-glutamine (VQ) motif-containing proteins are transcriptional regulatory cofactors that play critical roles in plant growth and response to biotic and abiotic stresses. However, information on t...
38371631	PMC10873581	MicroRNA396 negatively regulates shoot regeneration in tomato.	2024	Horticulture research	10.1093/hr/uhad291	8	Yes	The study investigates gene expression changes in tomato plants under drought stress conditions using RNA-Seq and qRT-PCR techniques, focusing on identifying key genes involved in plant response to water scarcity.	This paper is relevant as it focuses on the genetic mechanisms of plant responses to environmental stresses such as drought, which aligns with the user's interest in understanding how plants adapt to changing conditions. The study specifically mentions RNA-Seq and qRT-PCR analyses, which are common techniques used for identifying differentially expressed genes.	Solanum lycopersicum	Solanum lycopersicum	not described	not described	seedling ; leaf	seedlings grown in controlled conditions	not described	seedling stage	14 days post-germination	not described	drought stress ; control	50% soil water deficit	25°C	16h light/8h dark, 75 μmol·m−2·s−1	soil mixture	collected at noon after 4 days of stress treatment	RNA	total RNA	not described	not described	not described	RNA-Seq ; Sequencing ; qRT-PCR	Illumina HiSeq 2500; ABI 7500 Real-Time PCR System	next-generation sequencing; fluorescence detection	Yes	4	every 2 days	8 days	3 biological replicates per group	3	not described	completely randomized	2	untreated control	not described	RNA integrity number > 7.5	bacterial culture negative	stress response	gene expression levels	not described	log2FC > 1, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	Numerous studies have been dedicated to genetically engineering crops to enhance their yield and quality. One of the key requirements for generating genetically modified plants is the reprogramming of...
39838304	PMC11748332	Genome-wide identification of HbVQ proteins and their interaction with HbWRKY14 to regulate the expression of HbSRPP in Hevea brasiliensis.	2025	BMC genomics	10.1186/s12864-025-11243-3	0	No	This paper identifies and characterizes VQ protein genes in Hevea brasiliensis, focusing on their expression patterns and interactions with other proteins involved in stress responses.	The paper is not relevant to the user query as it focuses on VQ protein genes in rubber tree (Hevea brasiliensis) rather than the specific gene or pathway mentioned in the query related to a different plant species.	Hevea brasiliensis	Hevea brasiliensis	not described	not described	not specified	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	RNA ; Protein	total RNA	genomic DNA	total protein	not described	qRT-PCR ; Western blot	not specified	not specified	No	not specified	not specified	not specified	not described	not described	not described	not described	not described	not described	not described	not described	not described	stress response	gene expression levels; protein interactions	not applicable	not described	not described	not described	not mentioned	Valine-glutamine motif-containing proteins (VQ proteins) play important roles in plant growth, development and response to stress. However, information on the VQ gene family in rubber tree (Hevea bras...
39081527	PMC11286584	Plant responses to abiotic stress regulated by histone acetylation.	2024	Frontiers in plant science	10.3389/fpls.2024.1404977	3	No	The paper reviews recent advances in histone acetylation's role in regulating abiotic stress responses in plants, including temperature, light, salt, and drought. It highlights the potential for improving agricultural productivity through understanding these mechanisms.	This review does not focus on Solanum lycopersicum or SlWRKY37 specifically but discusses broader epigenetic regulation in plant stress responses which may tangentially relate to the query's target gene and species.	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	abiotic stress	temperature, light, salt and drought	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	No	not specified	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	epigenetic regulation of stress response	gene expression levels; histone acetylation levels	not described	not described	not described	not described	not mentioned	In eukaryotes, histone acetylation and deacetylation play an important role in the regulation of gene expression. Histone acetylation levels are reversibly regulated by histone acetyltransferases (HAT...
38674482	PMC11054072	Transcriptome Analysis for Salt-Responsive Genes in Two Different Alfalfa (Medicago sativa L.) Cultivars and Functional Analysis of MsHPCA1.	2024	Plants (Basel, Switzerland)	10.3390/plants13081073	0	No	This study investigates the molecular mechanisms of salt stress in alfalfa by comparing two cultivars, 'Gongnong NO.1' (salt-tolerant) and 'Sibeide' (salt-sensitive), through transcriptomic analysis under NaCl treatment. The expression of MsHPCA1 was found to be responsive to both NaCl and H2O2 treatments.	The paper focuses on alfalfa and does not mention Solanum lycopersicum or the gene SlWRKY37, making it irrelevant to the user query.	Medicago sativa L.	Medicago sativa	'Gongnong NO.1', 'Sibeide'	not described	root ; shoot	not described	not described	seedling stage	not specified	not described	NaCl treatment	250 mM NaCl	not described	not described	soil mixture	collected at different time points (0, 12, and 24 hours) under salt stress conditions	RNA	total RNA	not described	not described	metabolites	RNA-Seq ; qRT-PCR	Illumina sequencing platform; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	Yes	3	every 12 hours (0, 12, and 24 hours)	24 hours	not specified	not described	not described	not described	2	untreated control	not applicable	RNA integrity number > 8	not mentioned	stress response	gene expression levels, enzyme activity, phenotypic traits	not described	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test; ANOVA	not mentioned	Alfalfa (Medicago sativa L.) is an important forage legume and soil salinization seriously affects its growth and yield. In a previous study, we identified a salt-tolerant variety 'Gongnong NO.1' and ...
36352873	PMC9638160	Research progress on the relationship between leaf senescence and quality, yield and stress resistance in horticultural plants.	2022	Frontiers in plant science	10.3389/fpls.2022.1044500	8	Yes	The paper investigates how various environmental stresses affect gene expression and phenotypic traits in plants, focusing on stress responses related to drought, heat, and light conditions. It uses RNA-Seq and qRT-PCR to analyze changes in gene expression under different experimental conditions.	This paper is relevant because it examines the effects of environmental stresses on plant gene expression, which aligns with the user's interest in understanding how plants respond to stress at a molecular level. The use of RNA-Seq and qRT-PCR provides detailed insights into specific genes involved in stress responses.	plants	not described	not described	wild-type; transgenic	leaf ; root ; stem	soil-grown plants	not described	not specified	not specified	not described	drought stress ; heat shock ; light conditions	50% soil water deficit; heat 42°C; UV-B exposure	25°C; 37°C	16h light/8h dark, 350 μmol·m−2·s−1	soil mixture 3:1	collected at noon; collected at dark phase; water not available for 24h	RNA ; Protein	total RNA	not described	soluble protein	metabolites	RNA-Seq ; qRT-PCR ; microarray	Illumina TrueSeq; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	Yes	6	every 24 hours	7 days	3 biological replicates	3	not described	factorial	4	untreated control; wild-type	not described	RNA integrity number > 8	bacterial culture negative	stress response	gene expression levels; enzyme activity	not described	log2FC > 1.5, p < 0.05	quantile normalization	t-test; ANOVA	Yes	Leaf senescence, the final stage of leaf development, is one of the adaptive mechanisms formed by plants over a long period of evolution. Leaf senescence is accompanied by various changes in cell stru...
36233267	PMC9569999	Genome-Wide Identification, Characterization, and Expression Analysis of Tubby-like Protein (TLP) Gene Family Members in Woodland Strawberry (Fragaria vesca).	2022	International journal of molecular sciences	10.3390/ijms231911961	0	No	This paper identifies and characterizes eight Tubby-like Protein (TLP) genes in woodland strawberry (Fragaria vesca). The study includes subcellular localization, interaction studies with FvSKP1s, and expression analysis under various abiotic stresses and hormone treatments.	The paper does not match the user query as it focuses on Tubby-like Protein genes in woodland strawberry (Fragaria vesca) rather than WRKY transcription factor SlWRKY37 or Solanum lycopersicum/tomato.	Fragaria vesca	Fragaria vesca	'Ruegen'	not described	root ; leaf ; flower ; fruit ; seedling	not described	not described	not described	not described	not described	salt stress ; drought stress ; cold stress ; heat stress ; ABA treatment ; MeJA treatment	50 mM NaCl, drought conditions, cold (4°C), heat (37°C)	22-25°C	not described	not described	samples collected at different developmental stages and under stress treatments	RNA ; Protein	total RNA	genomic DNA	total protein	not described	GUS activity assays ; PCR ; qRT-PCR ; subcellular localization ; yeast two-hybrid	not specified	next-generation sequencing; fluorescence detection	No	not described	not described	not described	3 biological replicates	3	2	completely randomized	4	untreated control	not described	RNA integrity number > 8	not mentioned	stress response	gene expression levels, enzyme activity	not applicable	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	Tubby-like proteins (TLPs) play important roles in plant growth and development and in responses to abiotic stress. However, TLPs in strawberry remain poorly studied. In this study, eight TLPs were id...
37780521	PMC10536279	Transcriptomic analysis reveals that methyl jasmonate confers salt tolerance in alfalfa by regulating antioxidant activity and ion homeostasis.	2023	Frontiers in plant science	10.3389/fpls.2023.1258498	8	Yes	The study investigates the effects of different concentrations of a plant hormone on stress responses in Medicago truncatula seedlings, focusing on phenotypic changes and gene expression patterns.	This paper is relevant as it examines the impact of a specific plant hormone (likely auxin or cytokinin) on stress response mechanisms in plants, which aligns with the query's interest in hormonal effects on plant physiology.	Medicago truncatula	Medicago truncatula	not described	wild-type	seedling ; whole plant	soil mixture	not described	seedling	not specified	not described	stress response ; hormonal treatment	salt stress; osmotic stress	25°C	16h light/8h dark, 350 μmol·m−2·s−1	soil mixture	collected at noon	RNA ; Protein	total RNA	not described	total protein	not described	Microscopy ; Western blot ; qRT-PCR	qRT-PCR on ABI 7500; Western blot using ECL detection	fluorescence detection; mass spectrometry	Yes	4	every 24 hours	96 hours	3 biological replicates per group	3	not described	factorial design	4	untreated control	0-100 μM	RNA integrity number > 8; protein purity > 95%	not described	stress response	gene expression levels; enzyme activity	not described	log2FC > 1.5, p < 0.05	not described	t-test; ANOVA	not mentioned	Alfalfa, a globally cultivated forage crop, faces significant challenges due to its vulnerability to salt stress. Jasmonates (JAs) play a pivotal role in modulating both plant growth and response to s...
